종목코드,종목명,시장,현재가,예측_5일후_등락률(%)
317120,라닉스,KOSDAQ,2175,32.59
008500,일정실업,KOSPI,3070,31.82
001525,동양우,KOSPI,5600,30.33
060250,NHN KCP,KOSDAQ,14910,30.28
010580,에스엠벡셀,KOSPI,2345,29.63
001520,동양,KOSPI,843,29.16
109670,씨싸이트,KOSDAQ,5750,27.61
145170,노브랜드,KOSDAQ,3980,22.87
051780,큐로홀딩스,KOSDAQ,1197,22.3
199480,뱅크웨어글로벌,KOSDAQ,5270,21.81
001527,동양2우B,KOSPI,8760,20.25
448900,한국피아이엠,KOSDAQ,43800,19.39
460470,아이빔테크놀로지,KOSDAQ,3290,19.31
378800,샤페론,KOSDAQ,1740,19.3
085910,네오티스,KOSDAQ,8970,19.04
377480,마음AI,KOSDAQ,18600,17.24
001080,만호제강,KOSPI,4370,16.56
264660,씨앤지하이테크,KOSDAQ,15900,16.3
035420,NAVER,KOSPI,242500,16.29
012210,삼미금속,KOSDAQ,10630,15.26
049720,고려신용정보,KOSDAQ,10560,15.01
241770,메카로,KOSDAQ,23000,14.6
462520,조선내화,KOSPI,14100,14.46
138610,나이벡,KOSDAQ,37550,14.46
210980,SK디앤디,KOSPI,12690,14.24
451250,삐아,KOSDAQ,9200,13.88
413630,씨피시스템,KOSDAQ,4545,13.63
174900,앱클론,KOSDAQ,42500,13.34
294570,쿠콘,KOSDAQ,28400,13.24
451700,엔에이치스팩29호,KOSDAQ,2600,12.78
095190,신화프리텍,KOSDAQ,2065,12.58
115180,큐리언트,KOSDAQ,30250,12.11
222800,심텍,KOSDAQ,49350,11.94
004710,한솔테크닉스,KOSPI,5880,11.75
208710,포톤,KOSDAQ,2150,11.43
070590,인티큐브,KOSDAQ,2155,11.26
476060,온코닉테라퓨틱스,KOSDAQ,19550,10.78
236810,엔비티,KOSDAQ,2100,10.7
010950,S-Oil,KOSPI,83000,10.57
245620,EDGC,KOSDAQ,415,10.4
192410,오늘이엔엠,KOSDAQ,1464,10.35
036710,심텍홀딩스,KOSDAQ,2720,9.8
272110,케이엔제이,KOSDAQ,21600,9.51
025620,차AI헬스케어,KOSPI,10660,9.46
030530,원익홀딩스,KOSDAQ,48700,9.27
006220,제주은행,KOSPI,11250,9.2
462350,이노스페이스,KOSDAQ,11314,9.11
464500,아이언디바이스,KOSDAQ,3260,8.95
079950,인베니아,KOSDAQ,1193,8.67
080720,한국유니온제약,KOSDAQ,2725,8.58
030720,동원수산,KOSPI,6080,8.58
265560,영화테크,KOSDAQ,6860,8.52
000230,일동홀딩스,KOSPI,13290,8.16
419080,엔젯,KOSDAQ,8160,8.12
021045,대호특수강우,KOSDAQ,2955,8.12
366030,공구우먼,KOSDAQ,5250,8.11
487360,신한제14호스팩,KOSDAQ,2050,8.07
010955,S-Oil우,KOSPI,48200,7.99
034220,LG디스플레이,KOSPI,11810,7.98
469480,IBKS제24호스팩,KOSDAQ,2235,7.59
225190,LK삼양,KOSDAQ,1365,7.48
282720,금양그린파워,KOSDAQ,11250,7.45
376270,HEM파마,KOSDAQ,45850,7.43
482630,삼양엔씨켐,KOSDAQ,11450,7.31
387570,파인메딕스,KOSDAQ,7500,7.27
014285,금강공업우,KOSPI,10010,7.22
024950,삼천리자전거,KOSDAQ,4473,7.01
452980,신한제11호스팩,KOSDAQ,2085,6.95
234340,헥토파이낸셜,KOSDAQ,15410,6.92
052770,아이톡시,KOSDAQ,773,6.87
030350,드래곤플라이,KOSDAQ,973,6.84
067310,하나마이크론,KOSDAQ,25750,6.57
146320,비씨엔씨,KOSDAQ,13570,6.57
017040,광명전기,KOSPI,1234,6.53
001515,SK증권우,KOSPI,2490,6.49
004920,씨아이테크,KOSPI,1069,6.48
263800,데이타솔루션,KOSDAQ,4995,6.38
131290,티에스이,KOSDAQ,57600,6.36
123750,알톤,KOSDAQ,1299,6.23
105840,우진,KOSPI,17070,6.14
106520,노블엠앤비,KOSDAQ,411,6.07
217480,에스디생명공학,KOSDAQ,499,6.02
000440,중앙에너비스,KOSDAQ,15670,5.98
238200,비피도,KOSDAQ,3065,5.93
437730,삼현,KOSDAQ,55200,5.93
009520,포스코엠텍,KOSDAQ,15790,5.92
024830,세원물산,KOSDAQ,10300,5.87
104830,원익머트리얼즈,KOSDAQ,30900,5.75
199800,툴젠,KOSDAQ,58600,5.67
210120,캔버스엔,KOSDAQ,1154,5.67
382900,범한퓨얼셀,KOSDAQ,26200,5.62
259630,엠플러스,KOSDAQ,11820,5.55
060900,에이전트AI,KOSDAQ,600,5.46
229000,젠큐릭스,KOSDAQ,1551,5.27
041910,폴라리스AI파마,KOSDAQ,6230,5.23
462860,더즌,KOSDAQ,3780,5.21
278470,에이피알,KOSPI,231000,5.21
000545,흥국화재우,KOSPI,7410,5.13
175250,아이큐어,KOSDAQ,2170,5.05
474660,신한제12호스팩,KOSDAQ,2070,5.03
091580,상신이디피,KOSDAQ,13110,5.03
036200,유니셈,KOSDAQ,9660,4.97
005745,크라운해태홀딩스우,KOSPI,8230,4.96
089030,테크윙,KOSDAQ,45800,4.93
142760,모아라이프플러스,KOSDAQ,1775,4.78
054940,엑사이엔씨,KOSDAQ,674,4.73
475960,토모큐브,KOSDAQ,51000,4.71
110990,디아이티,KOSDAQ,14570,4.71
012750,에스원,KOSPI,72100,4.71
171090,선익시스템,KOSDAQ,52500,4.66
478390,KB제29호스팩,KOSDAQ,2080,4.65
321370,센서뷰,KOSDAQ,1300,4.65
338100,NH프라임리츠,KOSPI,4455,4.65
445680,큐리옥스바이오시스템즈,KOSDAQ,117000,4.63
477340,에이치엠씨제7호스팩,KOSDAQ,2015,4.6
475250,하나33호스팩,KOSDAQ,2100,4.59
431190,케이쓰리아이,KOSDAQ,5030,4.53
054780,키이스트,KOSDAQ,3215,4.46
486630,KB제30호스팩,KOSDAQ,2045,4.31
389680,유디엠텍,KOSDAQ,508,4.28
006660,삼성공조,KOSPI,14190,4.11
353810,이지바이오,KOSDAQ,5810,4.08
194700,노바렉스,KOSDAQ,14000,4.07
010040,한국내화,KOSPI,2095,3.98
002410,범양건영,KOSPI,1935,3.98
226590,엠디바이스,KOSDAQ,13280,3.8
027040,서울전자통신,KOSDAQ,191,3.8
469900,하나31호스팩,KOSDAQ,2060,3.79
004450,삼화왕관,KOSPI,29300,3.78
126560,현대퓨처넷,KOSPI,3070,3.77
009770,삼정펄프,KOSPI,31100,3.73
276040,스코넥,KOSDAQ,1474,3.73
018290,브이티,KOSDAQ,17510,3.72
468760,유진스팩10호,KOSDAQ,2115,3.66
419530,SAMG엔터,KOSDAQ,41350,3.53
249420,일동제약,KOSPI,38500,3.5
124500,아이티센글로벌,KOSDAQ,30300,3.5
004545,깨끗한나라우,KOSPI,11870,3.49
021040,대호특수강,KOSDAQ,1316,3.46
084730,팅크웨어,KOSDAQ,7770,3.43
060230,제이케이시냅스,KOSDAQ,575,3.41
102710,이엔에프테크놀로지,KOSDAQ,47000,3.4
170790,파이오링크,KOSDAQ,8800,3.4
356860,티엘비,KOSDAQ,59800,3.4
128940,한미약품,KOSPI,452000,3.33
469880,하나30호스팩,KOSDAQ,2070,3.32
013520,화승코퍼레이션,KOSPI,2165,3.29
052790,액토즈소프트,KOSDAQ,6130,3.24
223310,사토시홀딩스,KOSDAQ,2320,3.24
072990,에이치시티,KOSDAQ,5640,3.21
478110,이베스트스팩6호,KOSDAQ,2010,3.2
444530,심플랫폼,KOSDAQ,8580,3.17
042510,라온시큐어,KOSDAQ,9110,3.03
003570,SNT다이내믹스,KOSPI,46600,3.03
405000,플라즈맵,KOSDAQ,5800,2.97
477470,미래에셋비전스팩5호,KOSDAQ,2130,2.96
089140,넥스턴앤롤코리아,KOSDAQ,2175,2.9
263750,펄어비스,KOSDAQ,37400,2.89
053690,한미글로벌,KOSPI,17960,2.82
109070,주성코퍼레이션,KOSPI,792,2.81
015590,DKME,KOSPI,515,2.77
008370,원풍,KOSDAQ,4845,2.77
088980,맥쿼리인프라,KOSPI,11250,2.76
252500,세화피앤씨,KOSDAQ,805,2.76
083660,CSA 코스믹,KOSDAQ,482,2.73
154030,아시아종묘,KOSDAQ,1991,2.66
098120,마이크로컨텍솔,KOSDAQ,16880,2.65
068270,셀트리온,KOSPI,181000,2.61
160980,싸이맥스,KOSDAQ,14600,2.6
011170,롯데케미칼,KOSPI,70300,2.6
319660,피에스케이,KOSDAQ,36900,2.55
002220,한일철강,KOSPI,5070,2.54
003670,포스코퓨처엠,KOSPI,187000,2.51
080580,오킨스전자,KOSDAQ,10300,2.5
105330,케이엔더블유,KOSDAQ,5830,2.49
204620,글로벌텍스프리,KOSDAQ,4480,2.47
020180,대신정보통신,KOSDAQ,1017,2.46
008470,부스타,KOSDAQ,4040,2.46
054220,비츠로시스,KOSDAQ,391,2.44
012205,계양전기우,KOSPI,12480,2.44
069140,누리플랜,KOSDAQ,2905,2.4
012450,한화에어로스페이스,KOSPI,941000,2.4
484870,엠앤씨솔루션,KOSPI,142800,2.4
069330,유아이디,KOSDAQ,1133,2.38
032685,소프트센우,KOSDAQ,7060,2.37
000040,KR모터스,KOSPI,451,2.36
464680,KB제27호스팩,KOSDAQ,2065,2.36
002870,신풍,KOSPI,1126,2.36
478440,미래에셋비전스팩6호,KOSDAQ,2045,2.35
035600,KG이니시스,KOSDAQ,10220,2.33
204270,제이앤티씨,KOSDAQ,19820,2.33
393970,대진첨단소재,KOSDAQ,4305,2.32
330730,스톤브릿지벤처스,KOSDAQ,5220,2.3
082640,동양생명,KOSPI,6570,2.3
001770,SHD,KOSPI,18150,2.26
162300,신스틸,KOSDAQ,1763,2.26
039830,오로라,KOSDAQ,14420,2.22
071320,지역난방공사,KOSPI,96400,2.2
303360,프로티아,KOSDAQ,6240,2.19
009310,참엔지니어링,KOSPI,1106,2.19
271980,제일약품,KOSPI,15150,2.17
019990,에너토크,KOSDAQ,7030,2.11
000225,유유제약1우,KOSPI,5190,2.1
467930,IBKS제23호스팩,KOSDAQ,2245,2.04
066790,씨씨에스,KOSDAQ,1493,2.03
145210,다이나믹디자인,KOSPI,712,2.01
334890,이지스밸류플러스리츠,KOSPI,4165,2.0
014825,동원시스템즈우,KOSPI,17980,1.98
094800,맵스리얼티,KOSPI,5090,1.96
307870,비투엔,KOSDAQ,996,1.96
023910,대한약품,KOSDAQ,29250,1.95
032790,엠젠솔루션,KOSDAQ,1073,1.89
372800,아이티아이즈,KOSDAQ,4800,1.88
425040,티이엠씨,KOSDAQ,7650,1.87
419050,삼기에너지솔루션즈,KOSDAQ,1680,1.85
001200,유진투자증권,KOSPI,3440,1.85
069460,대호에이엘,KOSPI,1400,1.83
108380,대양전기공업,KOSDAQ,27700,1.81
002785,진흥기업우B,KOSPI,3690,1.77
004410,서울식품,KOSPI,149,1.74
482520,교보16호스팩,KOSDAQ,2065,1.72
241710,코스메카코리아,KOSDAQ,66600,1.72
093320,케이아이엔엑스,KOSDAQ,121100,1.71
394800,쓰리빌리언,KOSDAQ,18230,1.71
025770,한국정보통신,KOSDAQ,7660,1.7
139050,BF랩스,KOSDAQ,2805,1.68
121890,에스디시스템,KOSDAQ,1740,1.68
002787,진흥기업2우B,KOSPI,8390,1.67
204210,스타에스엠리츠,KOSPI,2035,1.67
181710,NHN,KOSPI,29050,1.66
069960,현대백화점,KOSPI,88600,1.64
082920,비츠로셀,KOSDAQ,17620,1.64
363250,진시스템,KOSDAQ,4100,1.63
007570,일양약품,KOSPI,14600,1.63
025440,DH오토웨어,KOSDAQ,778,1.58
477760,DB금융스팩12호,KOSDAQ,2125,1.57
006650,대한유화,KOSPI,144800,1.56
208350,지란지교시큐리티,KOSDAQ,2950,1.55
011810,STX,KOSPI,3530,1.52
477380,미래에셋비전스팩4호,KOSDAQ,2065,1.51
