종목코드,종목명,시장,현재가,RSI,MACD히스토,볼린저위치,거래량배율,종합점수,신호
000020,동화약품,KOSPI,6250,44.7,-7.63,0.272,0.81,-1,0
000040,KR모터스,KOSPI,451,28.7,-3.86,-0.216,3.96,2,1
000050,경방,KOSPI,9360,56.0,-100.49,0.562,0.32,0,0
000070,삼양홀딩스,KOSPI,57600,29.1,-96.19,-0.237,1.31,1,0
000080,하이트진로,KOSPI,18440,34.0,-41.77,-0.131,0.78,1,0
000087,하이트진로2우B,KOSPI,15120,28.2,-27.41,-0.276,1.05,2,1
000100,유한양행,KOSPI,112400,38.2,-356.34,0.061,0.75,0,0
000105,유한양행우,KOSPI,101300,36.5,-221.19,0.001,0.87,1,0
000120,CJ대한통운,KOSPI,94600,51.1,-555.56,0.37,0.63,0,0
000140,하이트진로홀딩스,KOSPI,9790,37.3,-45.71,-0.068,1.2,1,0
000145,하이트진로홀딩스우,KOSPI,12900,58.0,15.95,0.719,1.59,0,0
000150,두산,KOSPI,781000,42.7,-5794.48,0.221,0.69,0,0
000155,두산우,KOSPI,470000,39.4,-4720.69,0.075,0.68,0,0
000157,두산2우B,KOSPI,433500,43.5,-518.23,0.284,0.41,0,0
000180,성창기업지주,KOSPI,1511,50.8,-1.34,0.471,0.86,0,0
000210,DL,KOSPI,37650,41.4,-239.54,0.083,0.56,0,0
000215,DL우,KOSPI,23550,34.8,-218.03,0.055,0.56,0,0
000220,유유제약,KOSPI,4515,59.1,13.04,0.751,0.13,0,0
000225,유유제약1우,KOSPI,5190,60.1,26.9,0.839,0.14,0,0
000227,유유제약2우B,KOSPI,11180,51.6,-20.59,0.497,0.16,-1,0
000230,일동홀딩스,KOSPI,13290,49.3,-163.19,0.423,0.1,0,0
000240,한국앤컴퍼니,KOSPI,26150,47.3,-221.44,0.323,0.59,0,0
000250,삼천당제약,KOSDAQ,232500,54.4,-169.45,0.666,0.62,0,0
000270,기아,KOSPI,121800,56.2,-431.17,0.513,0.51,0,0
000300,DH오토넥스,KOSPI,4200,62.1,-0.0,,,0,0
000320,노루홀딩스,KOSPI,21050,36.7,-82.37,-0.037,0.89,1,0
000325,노루홀딩스우,KOSPI,30550,46.5,-211.54,0.382,0.44,0,0
000370,한화손해보험,KOSPI,5560,56.3,28.19,0.853,0.75,0,0
000390,삼화페인트,KOSPI,7760,65.1,89.04,0.751,1.69,0,0
000400,롯데손해보험,KOSPI,1739,41.5,-1.63,0.092,0.79,0,0
000430,대원강업,KOSPI,3865,49.4,-14.39,0.374,0.74,0,0
000440,중앙에너비스,KOSDAQ,15670,50.0,8.22,0.468,0.51,0,0
000480,CR홀딩스,KOSPI,4835,31.0,-26.27,-0.255,1.06,1,0
000490,대동,KOSPI,9690,50.3,-10.51,0.477,0.74,0,0
000500,가온전선,KOSPI,82400,53.9,-271.93,0.591,0.46,0,0
000520,삼일제약,KOSPI,9690,43.6,-102.38,0.179,0.45,0,0
